step,A0read,A1read,A2read
0,242,256,274
50,254,253,271
100,251,252,271
150,254,254,273
200,256,255,274
250,254,252,272
300,251,250,270
350,253,252,272
400,254,254,274
450,255,255,274
500,255,254,274
550,253,251,270
600,251,251,271
650,253,253,273
700,254,253,274
750,253,252,274
800,248,244,273
850,242,226,271
900,224,178,271
950,41,40,273
1000,41,8,274
1001,7,7,275
1002,7,7,273
1003,7,7,270
1004,7,6,270
1005,6,6,272
1006,6,6,273
1007,6,6,275
1008,6,6,273
1009,6,6,270
1010,6,6,272
1011,6,5,274
1012,6,6,274
1013,6,6,272
1014,5,5,270
1015,5,5,271
1016,5,5,273
1017,6,5,274
1018,5,5,275
1019,5,5,273
1020,5,5,271
1021,5,5,270
1022,5,5,272
1023,5,5,273
1024,5,5,274
1025,5,5,275
1026,5,4,273
1027,4,5,272
1028,4,4,270
1029,4,4,272
1030,4,4,273
1031,4,4,273
1032,4,4,275
1033,5,4,274
1034,4,5,273
1035,4,4,271
1036,4,4,270
1037,4,4,270
1038,4,4,271
1039,4,4,273
1040,4,4,274
1041,4,4,274
1042,4,4,274
1043,4,4,272
1044,4,4,271
1045,4,4,270
1046,4,4,272
1047,3,3,273
1048,4,3,274
1049,4,3,274
1050,3,4,273
1051,3,3,271
1052,3,3,270
1053,3,3,271
1054,3,3,273
1055,3,3,274
1056,3,3,274
1057,3,3,274
1058,3,3,272
1059,3,3,270
1060,3,3,271
1061,3,3,272
1062,3,3,273
1063,3,3,274
1064,3,3,274
1065,3,2,273
1066,3,2,271
1067,2,3,270
1068,3,3,272
1069,3,3,274
1070,3,3,275
1071,3,2,274
1072,3,3,272
1073,3,3,270
1074,3,3,271
1075,2,2,273
1076,2,3,274
1077,3,2,275
1078,2,3,274
1079,3,3,271
1080,3,2,270
1081,2,2,272
1082,2,2,273
1083,3,2,274
1084,2,3,274
1085,2,3,273
1086,2,3,271
1087,2,2,270
1088,2,2,272
1089,1,3,273
1090,3,2,274
1091,2,2,275
1092,2,2,273
1093,2,1,271
1094,2,2,270
1095,2,2,272
1096,2,2,273
1097,2,2,274
1098,2,3,273
1099,2,2,271
1100,2,2,270
1101,2,2,272
1102,2,2,273
1103,2,2,274
1104,2,2,274
1105,2,3,273
1106,2,2,272
1107,2,2,270
1108,2,1,272
1109,2,2,273
1110,2,2,274
1111,2,2,275
1112,2,2,274
1113,1,2,272
1114,1,2,270
1115,2,2,271
1116,2,2,272
1117,2,1,273
1118,2,2,275
1119,2,2,274
1120,2,1,273
1121,1,2,271
1122,2,1,270
1123,1,2,272
1124,2,1,273
1125,2,1,274
1126,1,2,274
1127,2,1,273
1128,1,2,271
1129,1,2,270
1130,2,2,272
1131,2,1,272
1132,2,2,274
1133,2,2,274
1134,2,2,274
1135,2,2,272
1136,1,1,271
1137,1,1,271
1138,1,1,272
1139,1,2,273
1140,1,1,274
1141,2,1,274
1142,2,1,272
1143,1,1,270
1144,1,1,271
1145,1,2,273
1146,1,2,273
1147,1,2,274
1148,1,1,274
1149,1,1,273
1150,1,1,270
1151,1,2,270
1152,1,1,272
1153,1,1,273
1154,1,1,274
1155,1,1,275
1156,1,2,274
1157,1,1,272
1158,1,1,272
1159,1,2,274
1160,1,1,274
1161,1,1,274
1162,1,1,271
1163,1,1,271
1164,2,1,271
1165,1,1,273
1166,1,1,274
1167,1,1,274
1168,1,1,273
1169,1,2,271
1170,1,2,270
1171,1,1,271
1172,1,1,273
1173,1,2,274
1174,1,1,274
1175,1,2,274
1176,1,1,272
1177,1,1,271
1178,1,1,270
1179,1,1,272
1180,1,1,273
1181,1,1,274
1182,1,1,274
1183,1,1,274
1184,1,1,272
1185,1,1,270
1186,1,1,271
1187,1,1,272
1188,1,1,274
1189,1,2,274
1190,1,1,274
1191,1,1,273
1192,1,1,271
1193,1,1,270
1194,1,1,272
1195,1,1,273
1196,1,1,274
1197,1,1,274
1198,1,1,273
1199,1,1,271
1200,1,1,270
1201,1,1,271
1202,1,1,273
1203,1,1,274
1204,1,1,274
1205,1,1,274
1206,1,1,272
1207,1,1,270
1208,1,0,270
1209,1,1,272
1210,1,1,273
1211,1,1,274
1212,1,0,275
1213,1,1,273
1214,1,1,272
1215,1,1,270
1216,1,1,271
1217,1,1,274
1218,1,1,274
1219,1,1,274
1220,0,1,272
1221,1,1,270
1222,1,1,271
1223,1,1,272
1224,1,1,274
1225,1,1,275
1226,1,1,274
1227,1,1,272
1228,1,1,271
1229,1,1,270
1230,1,1,272
1231,1,1,273
1232,1,1,274
1233,1,1,274
1234,1,1,274
1235,1,1,272
1236,1,1,270
1237,0,1,271
1238,1,0,272
1239,1,0,274
1240,0,1,274
1241,1,1,274
1242,1,1,273
1243,1,1,271
1244,1,1,270
1245,1,1,272
1246,1,1,273
1247,1,1,274
1248,1,1,274
1249,0,0,274
1250,1,1,272
1251,1,1,270
1252,0,1,270
1253,1,1,272
1254,1,1,274
1255,1,1,275
1256,0,1,274
1257,1,1,273
1258,1,1,271
1259,1,1,270
1260,1,1,272
1261,0,1,273
1262,1,1,274
1263,0,1,271
1264,0,1,273
1265,0,1,274
1266,0,1,275
1267,1,0,274
1268,1,1,272
1269,0,1,270
1270,1,1,271
1271,1,0,273
1272,1,1,274
1273,1,1,275
1274,1,1,273
1275,1,1,272
1276,1,1,270
1277,1,0,274
1278,1,0,274
1279,1,0,274
1280,1,1,272
1281,0,1,270
1282,1,1,271
1283,1,1,273
1284,1,1,274
1285,1,1,274
1286,1,0,272
1287,1,0,270
1288,1,1,272
1289,1,0,274
1290,1,0,275
1291,1,1,273
1292,1,1,270
1293,0,1,271
1294,1,1,273
1295,1,1,274
1296,1,1,274
1297,1,1,272
1298,1,0,270
1299,0,0,272
1300,1,1,274
1301,1,1,274
1302,1,1,273
1303,1,1,270
1304,1,1,271
1305,1,1,273
1306,1,1,274
1307,1,1,274
1308,1,0,273
1309,0,0,271
1310,0,1,270
1311,1,1,272
1312,0,0,274
1313,0,0,274
1314,0,1,274
1315,1,0,271
1316,1,0,269
1317,0,1,272
1318,1,1,273
1319,1,1,274
1320,1,1,274
1321,1,1,273
1322,1,1,271
1323,1,1,270
1324,1,1,272
1325,0,0,273
1326,0,1,274
1327,0,0,274
1328,1,1,272
1329,0,1,270
1330,1,1,271
1331,1,1,273
1332,0,1,274
1333,1,1,274
1334,0,1,271
1335,0,0,272
1336,1,1,274
1337,1,1,274
1338,0,1,271
1339,0,1,270
1340,0,1,272
1341,1,1,273
1342,1,0,271
1343,1,1,270
1344,0,1,272
1345,1,1,273
1346,1,1,275
1347,0,0,274
1348,1,1,272
1349,1,1,270
1350,0,1,274
1351,1,0,274
1352,1,1,272
1353,1,1,270
1354,0,1,271
1355,1,1,273
1356,0,0,274
1357,1,1,270
1358,0,0,274
1359,1,1,274
1360,0,2,274
1361,0,0,273
1362,0,0,270
1363,0,1,271
1364,1,1,272
1365,1,1,274
1366,0,0,274
1367,0,1,274
1368,1,0,272
1369,1,1,270
1370,1,1,271
1371,0,0,273
1372,1,1,274
1373,0,1,274
1374,1,0,273
1375,1,0,270
1376,1,1,270
1377,0,0,272
1378,0,1,273
1379,1,0,272
1380,1,1,272
1381,0,1,274
1382,1,1,272
1383,0,0,270
1384,1,0,271
1385,1,0,272
1386,1,0,274
1387,0,1,274
1388,1,1,274
1389,1,0,271
1390,0,1,270
1391,1,1,272
1392,1,0,273
1393,0,1,274
1394,1,1,274
1395,1,1,273
