step,A0read,A1read,A2read
0,0,287,319
50,287,285,317
100,285,283,315
150,282,282,315
200,284,284,317
250,285,285,318
300,286,287,320
350,288,287,320
400,287,286,319
450,286,285,316
500,284,283,315
550,283,283,316
600,285,284,317
650,285,286,318
700,287,285,320
750,285,284,320
800,285,278,318
850,278,264,316
900,256,228,314
950,229,174,316
1000,66,10,317
1001,11,11,319
1002,11,10,320
1003,10,10,319
1004,10,10,318
1005,9,9,315
1006,9,9,314
1007,9,9,317
1008,8,9,318
1009,8,9,319
1010,9,9,319
1011,8,8,317
1012,8,7,316
1013,8,7,315
1014,7,8,317
1015,7,7,319
1016,7,8,319
1017,7,8,320
1018,8,8,319
1019,6,7,317
1020,7,7,315
1021,7,7,315
1022,6,6,316
1023,6,6,318
1024,6,7,319
1025,6,6,319
1026,6,7,319
1027,6,6,317
1028,6,5,315
1029,6,6,315
1030,5,6,317
1031,5,6,319
1032,6,6,319
1033,6,6,318
1034,5,6,315
1035,5,5,315
1036,5,5,318
1037,5,5,319
1038,5,5,320
1039,5,5,319
1040,5,5,318
1041,5,5,316
1042,4,5,315
1043,7,4,316
1044,5,4,318
1045,4,5,320
1046,5,5,319
1047,4,5,319
1048,5,4,316
1049,4,4,315
1050,4,4,316
1051,4,4,318
1052,3,4,319
1053,4,4,320
1054,4,5,319
1055,4,4,317
1056,4,4,315
1057,4,4,314
1058,4,3,316
1059,4,4,318
1060,3,4,319
1061,4,4,320
1062,3,4,319
1063,3,4,317
1064,3,4,315
1065,4,3,316
1066,4,4,317
1067,3,3,318
1068,4,3,320
1069,3,3,320
1070,3,3,318
1071,3,2,315
1072,3,3,316
1073,3,3,317
1074,3,4,319
1075,3,3,320
1076,3,4,319
1077,3,4,318
1078,3,3,317
1079,3,3,315
1080,3,3,316
1081,3,3,318
1082,3,3,318
1083,3,3,319
1084,3,3,319
1085,3,2,318
1086,2,2,316
1087,2,3,314
1088,3,3,317
1089,2,3,318
1090,2,3,319
1091,2,3,320
1092,2,3,319
1093,2,3,317
1094,3,3,316
1095,3,3,314
1096,3,2,317
1097,2,2,318
1098,3,3,319
1099,2,2,319
1100,2,2,319
1101,3,2,317
1102,3,2,315
1103,2,2,315
1104,2,3,317
1105,2,2,318
1106,2,3,320
1107,2,2,320
1108,3,3,318
1109,2,2,317
1110,2,2,315
1111,2,3,315
