step,A0read,A1read,A2read
0,32,313,354
50,320,319,359
100,321,320,358
150,320,319,353
200,315,314,350
250,320,319,358
300,321,320,359
350,321,320,357
400,319,315,352
450,314,313,356
500,319,320,359
550,321,320,359
600,321,319,357
650,317,315,350
700,313,312,357
750,319,317,358
800,314,314,359
850,315,303,356
900,272,270,351
950,227,184,357
1000,197,18,359
1001,17,17,359
1002,17,16,356
1003,14,14,351
1004,15,15,358
1005,16,15,360
1006,14,15,357
1007,14,13,351
1008,13,12,352
1009,13,13,359
1010,13,13,359
1011,13,13,357
1012,12,11,351
1013,11,11,354
1014,12,11,359
1015,12,11,359
1016,11,11,357
1017,11,10,351
1018,10,9,354
1019,10,10,358
1020,10,10,359
1021,10,10,357
1022,10,9,351
1023,9,9,354
1024,10,9,359
1025,9,9,359
1026,9,9,357
1027,8,8,351
1028,8,7,356
1029,9,9,359
1030,9,8,359
1031,8,8,356
1032,8,8,351
1033,8,7,357
1034,8,8,359
1035,8,7,359
1036,8,8,357
1037,8,7,351
1038,7,7,357
1039,7,7,360
1040,7,7,359
1041,7,7,354
1042,7,7,351
1043,7,6,358
1044,7,6,360
1045,7,6,359
1046,7,6,353
1047,6,6,351
1048,6,6,357
1049,6,6,359
1050,6,6,360
1051,6,6,357
1052,6,6,353
1053,6,6,351
1054,6,6,358
1055,6,5,359
1056,6,6,359
1057,6,5,357
1058,6,5,352
1059,5,5,351
1060,6,5,359
1061,5,5,359
1062,6,5,359
1063,5,5,353
1064,5,4,351
1065,5,4,358
1066,5,5,359
1067,5,5,359
1068,5,5,358
1069,5,4,353
1070,5,4,351
1071,4,5,358
1072,5,5,359
1073,5,4,359
1074,4,4,358
1075,4,4,352
1076,4,4,351
1077,4,4,358
1078,5,4,359
1079,4,4,359
1080,4,4,357
1081,4,4,352
1082,4,4,351
1083,4,4,358
1084,4,4,359
1085,4,4,359
1086,4,4,358
1087,4,4,352
1088,4,3,351
1089,4,3,358
1090,4,4,360
1091,4,4,359
1092,4,4,356
1093,4,3,352
1094,3,3,351
1095,4,4,358
1096,4,3,359
1097,3,4,359
1098,4,3,357
1099,3,3,352
1100,3,3,351
1101,4,3,358
1102,3,3,360
1103,3,3,359
1104,3,3,356
1105,3,3,352
1106,3,2,351
1107,4,3,359
1108,3,3,360
1109,3,3,359
1110,4,3,357
1111,3,3,351
1112,3,3,351
1113,3,3,359
1114,3,3,360
1115,3,3,359
1116,3,3,357
1117,3,3,351
1118,3,3,351
1119,3,3,359
1120,3,3,359
1121,3,3,359
1122,3,3,355
1123,3,3,351
1124,3,2,358
1125,3,3,359
1126,3,2,359
1127,3,2,357
1128,2,2,352
1129,3,2,351
1130,3,3,359
1131,3,2,359
1132,3,2,359
1133,2,2,356
1134,2,2,352
1135,2,2,352
1136,3,2,359
1137,3,2,359
1138,3,2,359
1139,3,2,356
1140,2,2,351
1141,2,2,353
1142,2,2,359
1143,3,2,359
1144,2,2,359
1145,2,2,356
1146,3,2,351
1147,3,2,354
1148,2,2,360
